year,month,day,statefips,case_count,death_count,test_count,case_rate,death_rate,test_rate,new_positives_rate,new_case_rate,new_death_rate,new_test_rate,new_case_count,new_death_count,new_test_count,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020,1,23,18,0,0,.,0,0,.,.,.,.,.,.,.,.,.00447,.00236,.00811,-.00159,.00341,.0028,.00805,.00327
2020,1,23,19,0,0,.,0,0,.,.,.,.,.,.,.,.,.00528,.00736,.00564,.00144,.0052,.0138,-.00188,.00273
2020,1,23,2,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00189,-.0119,-.00605,.0114,-.0132,-.0647,.0145,-.00586
2020,1,23,20,0,0,.,0,0,.,.,.,.,.,.,.,.,.000959,.00625,-.00184,.00149,-.00379,.00887,.00401,.0003
2020,1,23,21,0,0,.,0,0,.,.,.,.,.,.,.,.,.00315,.00402,.00294,.00201,-.00117,.00371,.00421,.00659
2020,1,23,22,0,0,.,0,0,.,.,.,.,.,.,.,.,.00416,.00584,.00505,-.00113,-.00128,-.00135,.00744,.00505
2020,1,23,23,0,0,.,0,0,.,.,.,.,.,.,.,.,.00283,.00948,.00271,-.00592,.00163,.00349,.00278,-.000188
2020,1,23,24,0,0,.,0,0,.,.,.,.,.,.,.,.,.00243,.00651,.00151,.000962,-.000398,.00375,.00355,.00114
2020,1,23,25,0,0,0,0,0,0,.,.,.,.,.,.,.,.00297,-.00143,.00497,.00173,.00134,.00374,.00309,.0045
2020,1,23,26,0,0,.,0,0,.,.,.,.,.,.,.,.,.00506,.01,.00397,.00138,.00204,.00595,.00683,.00499
2020,1,23,27,0,0,.,0,0,.,.,.,.,.,.,.,.,.00277,.00627,.00484,-.00333,.00153,.00295,.0042,.00658
2020,1,23,28,0,0,.,0,0,.,.,.,.,.,.,.,.,.0021,.000961,.00562,-.00258,-.00559,.0112,.00497,-.013
2020,1,23,29,0,0,.,0,0,.,.,.,.,.,.,.,.,.00145,.00377,.00227,-.00395,.000404,.0031,-.000793,.000772
2020,1,23,30,0,0,.,0,0,.,.,.,.,.,.,.,.,.00584,.00687,.006,.00404,.00481,.0138,.00165,.00625
2020,1,23,31,0,0,.,0,0,.,.,.,.,.,.,.,.,-.00236,.00173,-.00369,-.00376,-.00061,-.00439,-.0158,.000567
2020,1,23,32,0,0,.,0,0,.,.,.,.,.,.,.,.,.00318,.00224,.00408,.00242,.000183,.00286,.01,-.0016
2020,1,23,33,0,0,.,0,0,.,.,.,.,.,.,.,.,.00388,.00737,.00314,.00217,-.0000426,.00829,.0064,.00243
2020,1,23,34,0,0,.,0,0,.,.,.,.,.,.,.,.,.00308,.00416,.00252,.00303,.00241,.00261,.00581,.00179
2020,1,23,35,0,0,.,0,0,.,.,.,.,.,.,.,.,.00786,.0129,.00678,-.000766,.00494,.00601,.0113,.00018
2020,1,23,36,0,0,.,0,0,.,.,.,.,.,.,.,.,.00428,.00523,.00513,.00219,.00519,.00359,.00493,.00215
2020,1,23,37,0,0,.,0,0,.,.,.,.,.,.,.,.,.00188,.0014,.00426,-.00271,-.000381,.000431,.00596,.00343
2020,1,23,38,0,0,.,0,0,.,.,.,.,.,.,.,.,.0105,.0193,.0062,.00789,.00694,.00573,.0155,.
2020,1,23,39,0,0,.,0,0,.,.,.,.,.,.,.,.,.00137,.00153,.00244,-.00159,.000817,.0000524,.0046,.0007
2020,1,23,4,0,0,.,0,0,.,.,.,.,.,.,.,.,.000853,-.00297,.00406,-.00261,.000865,-.00998,.0037,.00465
2020,1,23,40,0,0,.,0,0,.,.,.,.,.,.,.,.,.00355,.0109,.000946,-.00167,.000652,.0124,.00173,.00565
2020,1,23,41,0,0,.,0,0,.,.,.,.,.,.,.,.,.00465,.0056,.00631,-.000664,.00474,.00292,.00622,.00243
2020,1,23,42,0,0,.,0,0,.,.,.,.,.,.,.,.,.00246,.00721,.00152,-.00127,.00106,.00334,.00301,.000625
